"Model","Displ","Cyl","Trans","Drive","Fuel","Stnd","Class","APS","City_MPG","Hwy_MPG","Cmb_MPG","GGS","SM","Cmb_CO2","City_MPGe","Hwy_MPGe","Cmb_MPGe","Cmb_CO2e"
"ASTON MARTIN DB11",5.2,12,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,15,22,18,3,"No",497,NA,NA,NA,NA
"ASTON MARTIN DBS",5.2,12,"SemiAuto-8","2WD","Gasoline","L2ULEV125","small car",3,14,22,17,3,"No",522,NA,NA,NA,NA
"ASTON MARTIN DBS",5.2,12,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,14,22,17,3,"No",522,NA,NA,NA,NA
"ASTON MARTIN Vantage",4,8,"SemiAuto-8","2WD","Gasoline","L2ULEV125","small car",3,18,24,20,4,"No",435,NA,NA,NA,NA
"ASTON MARTIN Vantage",4,8,"SemiAuto-8","2WD","Gasoline","T3B125","small car",3,18,24,20,4,"No",435,NA,NA,NA,NA
"AUDI A3",2,4,"AMS-7","2WD","Gasoline","L3SULEV30","small car",7,27,36,30,7,"Yes",293,NA,NA,NA,NA
"AUDI A3",2,4,"AMS-7","2WD","Gasoline","T3B30","small car",7,27,36,30,7,"Yes",293,NA,NA,NA,NA
"AUDI A3",2,4,"AMS-7","4WD","Gasoline","L3SULEV30","small car",7,22,30,25,5,"No",359,NA,NA,NA,NA
"AUDI A3",2,4,"AMS-7","4WD","Gasoline","T3B30","small car",7,22,30,25,5,"No",359,NA,NA,NA,NA
"AUDI A3 Cabriolet",2,4,"AMS-7","4WD","Gasoline","L3SULEV30","small car",7,22,30,25,5,"No",359,NA,NA,NA,NA
"AUDI A3 Cabriolet",2,4,"AMS-7","4WD","Gasoline","T3B30","small car",7,22,30,25,5,"No",359,NA,NA,NA,NA
"AUDI A6",2,4,"AMS-7","4WD","Gasoline","L3ULEV70","midsize car",5,24,32,27,6,"No",329,NA,NA,NA,NA
"AUDI A6",2,4,"AMS-7","4WD","Gasoline","T3B70","midsize car",5,24,32,27,6,"No",329,NA,NA,NA,NA
"AUDI Q3",2,4,"SemiAuto-8","4WD","Gasoline","L3SULEV30","small SUV",7,19,27,22,4,"No",399,NA,NA,NA,NA
